Running Variant Hexcode List,,,Parsed Hexcode List,,,
,,,,,,
variant,color,,variant,color,,Missing in parsed hexcode list
XBB ,#9FA8DA,,JN.1.16.1,#366298,,
XBB.1.16,#4527A0,,JN.1.18,#4df230,,
XBB.1.16.1,#F89B9B,,JN.1.18.6,#e16b1d,,
XBB.1.16.11,#D37295,,JN.1.32,#2e7919,,
XBB.1.16.15,#E3B5FA,,JN.1.4.3,#9d1010,,
XBB.1.16.17,#8F8CB0,,JN.1.7,#cf15e8,,
XBB.1.16.6,#5AA350,,JN.1.8.1,#ffb027,,
XBB.1.42.2,#75D1A3,,KP.1.1,#cbff86,,
XBB.1.5,#3F51B5,,KP.1.1.3,#1eb3b6,,
XBB.1.5.1,#1A237E,,KP.1.2,#d7b5a6,,
XBB.1.5.10, #F97A57,,KP.2,#5875a1,,
XBB.1.5.59,#FFBE7D,,KP.2.15,#175dff,,
XBB.1.5.68,#86BCB6,,KP.2.3,#628de8,,
XBB.1.5.70,#46783C,,KP.3,#b06589,,
XBB.1.5.72,#254220,,KP.3.1.1,#2f92a1,,
XBB.1.9.1,#304FFE,,KP.4.1,#ff473a,,
XBB.1.9.2,#536DFE,,KQ.1,#e86cde,,
XBB.2.3,#F7BCDF,,KS.1,#b771bc,,
XBB.2.3.8,#B9B2E8,,KV.2,#e14365,,
XDP,#B60052,,KW.1.1,#34a0ff,,
XDV.1,#D367B6,,LB.1,#795653,,
XEC,#4CA14C,,LB.1.3.1,#67b4bc,,
XEC.4,#06BC61,,LF.3.1,#d73e95,,
XEK,#B6992D,,LF.7,#3e8aa1,,
XEQ,#7660F1,,LF.7.2.1,#8480ff,,
XFC,#B66920,,LF.7.7.1,#3a54ff,,
XFG,#4e6ea1,,LF.7.7.2,#8686ff,,
,,,LF.7.9,#604aa1,,
,,,LP.1,#a74f9b,,
,,,LP.8.1,#ff860c,,
,,,MC.1,#b6b614,,
,,,MC.10.1,#0956d1,,
,,,MC.19,#206cbc,,
,,,MC.28.1,#287ba1,,
,,,NA,#a0cbe8,,
,,,NB.1.8.1,#8e1299,,
,,,NW.1,#ec4f00,,
,,,Other,#797979,,
,,,Other,#797979,,
,,,Other,#fabfd2,,
,,,PA.1,#4545ff,,
,,,S146K_XBB.1.5,#d7b5a6,,
,,,VBM,#b39ddb,,
,,,XBB,#9fa8da,,
,,,XBB,#f97a57,,
,,,XBB.1.16,#4527a0,,
,,,XBB.1.16.1,#f89b9b,,
,,,XBB.1.16.11,#d37295,,
,,,XBB.1.16.15,#e3b5fa,,
,,,XBB.1.16.17,#8f8cb0,,
,,,XBB.1.16.6,#59a14f,,
,,,XBB.1.42.1,#75d1a3,,
,,,XBB.1.42.2,#75d1a3,,
,,,XBB.1.5,#3f51b5,,
,,,XBB.1.5,#a0cbe8,,
,,,XBB.1.5.1,#1a237e,,
,,,XBB.1.5.10,#f97a57,,
,,,XBB.1.5.59,#ffbe7d,,
,,,XBB.1.5.68,#86bcb6,,
,,,XBB.1.5.70,#46783c,,
,,,XBB.1.5.72,#254220,,
,,,XBB.1.5.77,#254220,,
,,,XBB.1.9.1,#304ffe,,
,,,XBB.1.9.2,#536dfe,,
,,,XBB.2.3,#f7bcdf,,
,,,XBB.2.3.8,#b9b2e8,,
,,,XDP,#b60052,,
,,,XDV.1,#d367b6,,
,,,XEC,#4ca14c,,
,,,XEC.4,#06bc61,,
,,,XEK,#b6992d,,
,,,XEQ,#7660f1,,
,,,XFC,#b66920,,
,,,XFG,#4e6ea1,,
